Data;Hora;Cota;Estacao
22/09/2021;07:00;149;13600002
22/09/2021;17:00;146;13600002
23/09/2021;07:00;145;13600002
23/09/2021;17:00;145;13600002
24/09/2021;07:00;144;13600002
24/09/2021;17:00;164;13600002
25/09/2021;07:00;149;13600002
25/09/2021;17:00;152;13600002
26/09/2021;07:00;157;13600002
26/09/2021;17:00;158;13600002
27/09/2021;07:00;148;13600002
27/09/2021;17:00;143;13600002
28/09/2021;07:00;140;13600002
28/09/2021;17:00;141;13600002
29/09/2021;07:00;144;13600002
29/09/2021;17:00;150;13600002
30/09/2021;07:00;151;13600002
30/09/2021;17:00;152;13600002
01/10/2021;07:00;149;13600002
01/10/2021;07:00;;15250000
01/10/2021;17:00;148;13600002
02/10/2021;07:00;148;13600002
02/10/2021;07:00;;15250000
02/10/2021;17:00;148;13600002
03/10/2021;07:00;148;13600002
03/10/2021;07:00;;15250000
03/10/2021;17:00;147;13600002
04/10/2021;07:00;146;13600002
04/10/2021;07:00;;15250000
04/10/2021;17:00;144;13600002
05/10/2021;07:00;165;13600002
05/10/2021;07:00;;15250000
05/10/2021;17:00;164;13600002
06/10/2021;07:00;154;13600002
06/10/2021;07:00;;15250000
06/10/2021;17:00;153;13600002
07/10/2021;07:00;166;13600002
07/10/2021;07:00;;15250000
07/10/2021;17:00;173;13600002
08/10/2021;07:00;172;13600002
08/10/2021;07:00;;15250000
08/10/2021;17:00;172;13600002
09/10/2021;07:00;179;13600002
09/10/2021;07:00;;15250000
09/10/2021;17:00;182;13600002
10/10/2021;07:00;181;13600002
10/10/2021;07:00;;15250000
10/10/2021;17:00;181;13600002
11/10/2021;07:00;179;13600002
11/10/2021;07:00;;15250000
11/10/2021;17:00;180;13600002
12/10/2021;07:00;186;13600002
12/10/2021;07:00;;15250000
12/10/2021;17:00;196;13600002
13/10/2021;07:00;198;13600002
13/10/2021;07:00;;15250000
13/10/2021;17:00;190;13600002
14/10/2021;07:00;170;13600002
14/10/2021;07:00;;15250000
14/10/2021;17:00;162;13600002
15/10/2021;07:00;156;13600002
15/10/2021;07:00;;15250000
15/10/2021;17:00;159;13600002
16/10/2021;07:00;161;13600002
16/10/2021;07:00;;15250000
16/10/2021;17:00;250;13600002
17/10/2021;07:00;210;13600002
17/10/2021;07:00;;15250000
17/10/2021;17:00;208;13600002
18/10/2021;07:00;190;13600002
18/10/2021;07:00;;15250000
18/10/2021;17:00;196;13600002
19/10/2021;07:00;202;13600002
19/10/2021;07:00;;15250000
19/10/2021;17:00;206;13600002
20/10/2021;07:00;209;13600002
20/10/2021;07:00;;15250000
20/10/2021;17:00;220;13600002
21/10/2021;07:00;233;13600002
21/10/2021;07:00;;15250000
21/10/2021;17:00;228;13600002
22/10/2021;07:00;214;13600002
22/10/2021;07:00;;15250000
22/10/2021;17:00;202;13600002
23/10/2021;07:00;195;13600002
23/10/2021;07:00;;15250000
23/10/2021;17:00;193;13600002
24/10/2021;07:00;193;13600002
24/10/2021;07:00;;15250000
24/10/2021;17:00;205;13600002
25/10/2021;07:00;240;13600002
25/10/2021;07:00;;15250000
25/10/2021;17:00;249;13600002
26/10/2021;07:00;245;13600002
26/10/2021;07:00;;15250000
26/10/2021;17:00;238;13600002
27/10/2021;07:00;230;13600002
27/10/2021;07:00;;15250000
27/10/2021;17:00;228;13600002
28/10/2021;07:00;219;13600002
28/10/2021;07:00;;15250000
28/10/2021;17:00;226;13600002
29/10/2021;07:00;228;13600002
29/10/2021;07:00;;15250000
29/10/2021;17:00;222;13600002
30/10/2021;07:00;216;13600002
30/10/2021;07:00;;15250000
30/10/2021;17:00;215;13600002
31/10/2021;07:00;209;13600002
31/10/2021;07:00;;15250000
31/10/2021;17:00;205;13600002
01/11/2021;07:00;205;13600002
01/11/2021;07:00;;15250000
01/11/2021;17:00;203;13600002
02/11/2021;07:00;196;13600002
02/11/2021;07:00;;15250000
02/11/2021;17:00;197;13600002
03/11/2021;07:00;186;13600002
03/11/2021;07:00;;15250000
03/11/2021;17:00;198;13600002
04/11/2021;07:00;194;13600002
04/11/2021;07:00;;15250000
04/11/2021;17:00;194;13600002
05/11/2021;07:00;190;13600002
05/11/2021;07:00;;15250000
05/11/2021;17:00;204;13600002
06/11/2021;07:00;202;13600002
06/11/2021;07:00;;15250000
06/11/2021;17:00;204;13600002
07/11/2021;07:00;202;13600002
07/11/2021;07:00;;15250000
07/11/2021;17:00;196;13600002
08/11/2021;07:00;192;13600002
08/11/2021;07:00;;15250000
08/11/2021;17:00;189;13600002
09/11/2021;07:00;188;13600002
09/11/2021;07:00;;15250000
09/11/2021;17:00;188;13600002
10/11/2021;07:00;197;13600002
10/11/2021;07:00;;15250000
10/11/2021;17:00;202;13600002
11/11/2021;07:00;197;13600002
11/11/2021;07:00;;15250000
11/11/2021;17:00;196;13600002
12/11/2021;07:00;199;13600002
12/11/2021;07:00;;15250000
12/11/2021;17:00;195;13600002
13/11/2021;07:00;191;13600002
13/11/2021;07:00;;15250000
13/11/2021;17:00;188;13600002
14/11/2021;07:00;188;13600002
14/11/2021;07:00;;15250000
14/11/2021;17:00;195;13600002
15/11/2021;07:00;205;13600002
15/11/2021;07:00;;15250000
15/11/2021;17:00;215;13600002
16/11/2021;07:00;240;13600002
16/11/2021;07:00;;15250000
16/11/2021;17:00;256;13600002
17/11/2021;07:00;262;13600002
17/11/2021;07:00;;15250000
17/11/2021;17:00;248;13600002
18/11/2021;07:00;222;13600002
18/11/2021;07:00;;15250000
18/11/2021;17:00;212;13600002
19/11/2021;07:00;215;13600002
19/11/2021;07:00;;15250000
19/11/2021;17:00;215;13600002
20/11/2021;07:00;260;13600002
20/11/2021;07:00;;15250000
20/11/2021;17:00;304;13600002
21/11/2021;07:00;328;13600002
21/11/2021;07:00;;15250000
21/11/2021;17:00;372;13600002
22/11/2021;07:00;425;13600002
22/11/2021;07:00;;15250000
22/11/2021;17:00;460;13600002
23/11/2021;07:00;490;13600002
23/11/2021;07:00;;15250000
23/11/2021;17:00;498;13600002
24/11/2021;07:00;502;13600002
24/11/2021;07:00;;15250000
24/11/2021;17:00;506;13600002
25/11/2021;07:00;558;13600002
25/11/2021;07:00;;15250000
25/11/2021;17:00;590;13600002
26/11/2021;07:00;576;13600002
26/11/2021;07:00;;15250000
26/11/2021;17:00;548;13600002
27/11/2021;07:00;519;13600002
27/11/2021;07:00;;15250000
27/11/2021;17:00;501;13600002
28/11/2021;07:00;488;13600002
28/11/2021;07:00;;15250000
28/11/2021;17:00;479;13600002
29/11/2021;07:00;489;13600002
29/11/2021;07:00;;15250000
29/11/2021;17:00;526;13600002
30/11/2021;07:00;556;13600002
30/11/2021;07:00;;15250000
30/11/2021;17:00;574;13600002
01/12/2021;07:00;582;13600002
01/12/2021;07:00;707;15250000
01/12/2021;17:00;575;13600002
02/12/2021;07:00;554;13600002
02/12/2021;07:00;710;15250000
02/12/2021;17:00;534;13600002
03/12/2021;07:00;516;13600002
03/12/2021;07:00;715;15250000
03/12/2021;17:00;508;13600002
04/12/2021;07:00;498;13600002
04/12/2021;07:00;719;15250000
04/12/2021;17:00;489;13600002
05/12/2021;07:00;476;13600002
05/12/2021;07:00;718;15250000
05/12/2021;17:00;498;13600002
06/12/2021;07:00;503;13600002
06/12/2021;07:00;740;15250000
06/12/2021;17:00;508;13600002
07/12/2021;07:00;608;13600002
07/12/2021;07:00;750;15250000
07/12/2021;17:00;638;13600002
08/12/2021;07:00;760;13600002
08/12/2021;07:00;763;15250000
08/12/2021;17:00;835;13600002
09/12/2021;07:00;944;13600002
09/12/2021;07:00;777;15250000
09/12/2021;17:00;962;13600002
10/12/2021;07:00;1009;13600002
10/12/2021;07:00;788;15250000
10/12/2021;17:00;1024;13600002
11/12/2021;07:00;1018;13600002
11/12/2021;07:00;798;15250000
11/12/2021;17:00;987;13600002
12/12/2021;07:00;934;13600002
12/12/2021;07:00;808;15250000
12/12/2021;17:00;878;13600002
13/12/2021;07:00;828;13600002
13/12/2021;07:00;812;15250000
13/12/2021;17:00;788;13600002
14/12/2021;07:00;768;13600002
14/12/2021;07:00;817;15250000
14/12/2021;17:00;772;13600002
15/12/2021;07:00;772;13600002
15/12/2021;07:00;825;15250000
15/12/2021;17:00;799;13600002
16/12/2021;07:00;803;13600002
16/12/2021;07:00;825;15250000
16/12/2021;17:00;815;13600002
